p,qE,qL,q_cutoff,n,scoring_method,eMaxScore,fold
0.75,0.95,0.8,3.5,1,ESPN,716.8,1
0.75,1,0.8,3.5,1,ESPN,765.7,1
0.75,0.5,0.8500000000000001,3.5,1,ESPN,403.2,1
0.75,0.55,0.8500000000000001,3.5,1,ESPN,303.2,1
0.75,0.6,0.8500000000000001,3.5,1,ESPN,358.3,1
0.75,0.65,0.8500000000000001,3.5,1,ESPN,440.7,1
0.75,0.7,0.8500000000000001,3.5,1,ESPN,449.9,1
0.75,0.75,0.8500000000000001,3.5,1,ESPN,465.2,1
0.75,0.8,0.8500000000000001,3.5,1,ESPN,691,1
0.75,0.8500000000000001,0.8500000000000001,3.5,1,ESPN,598.6,1
0.75,0.9,0.8500000000000001,3.5,1,ESPN,614.3,1
0.75,0.95,0.8500000000000001,3.5,1,ESPN,736.5,1
0.75,1,0.8500000000000001,3.5,1,ESPN,700.5,1
0.75,0.5,0.9,3.5,1,ESPN,303.3,1
0.75,0.55,0.9,3.5,1,ESPN,422.8,1
0.75,0.6,0.9,3.5,1,ESPN,313.5,1
0.75,0.65,0.9,3.5,1,ESPN,407.4,1
0.75,0.7,0.9,3.5,1,ESPN,425.8,1
0.75,0.75,0.9,3.5,1,ESPN,453,1
0.75,0.8,0.9,3.5,1,ESPN,674.9,1
0.75,0.8500000000000001,0.9,3.5,1,ESPN,718.7,1
0.75,0.9,0.9,3.5,1,ESPN,680.4,1
0.75,0.95,0.9,3.5,1,ESPN,704.3,1
0.75,1,0.9,3.5,1,ESPN,692.3,1
0.75,0.5,0.95,3.5,1,ESPN,491.4,1
0.75,0.55,0.95,3.5,1,ESPN,245.6,1
0.75,0.6,0.95,3.5,1,ESPN,538.4,1
0.75,0.65,0.95,3.5,1,ESPN,529.5,1
0.75,0.7,0.95,3.5,1,ESPN,424.5,1
0.75,0.75,0.95,3.5,1,ESPN,538.4,1
0.75,0.8,0.95,3.5,1,ESPN,520.5,1
0.75,0.8500000000000001,0.95,3.5,1,ESPN,634.6,1
0.75,0.9,0.95,3.5,1,ESPN,677.2,1
0.75,0.95,0.95,3.5,1,ESPN,685.7,1
0.75,1,0.95,3.5,1,ESPN,772.4,1
0.75,0.5,1,3.5,1,ESPN,456.8,1
0.75,0.55,1,3.5,1,ESPN,470.4,1
0.75,0.6,1,3.5,1,ESPN,460.6,1
0.75,0.65,1,3.5,1,ESPN,389.1,1
0.75,0.7,1,3.5,1,ESPN,468.9,1
0.75,0.75,1,3.5,1,ESPN,501.4,1
0.75,0.8,1,3.5,1,ESPN,697.4,1
0.75,0.8500000000000001,1,3.5,1,ESPN,638.6,1
0.75,0.9,1,3.5,1,ESPN,672.5,1
0.75,0.95,1,3.5,1,ESPN,718.9,1
0.75,1,1,3.5,1,ESPN,815.1,1
0.75,0.5,0.5,4.5,1,ESPN,265.3,1
0.75,0.55,0.5,4.5,1,ESPN,370.4,1
0.75,0.6,0.5,4.5,1,ESPN,313.1,1
0.75,0.65,0.5,4.5,1,ESPN,429.1,1
0.75,0.7,0.5,4.5,1,ESPN,374.9,1
0.75,0.75,0.5,4.5,1,ESPN,488.5,1
0.75,0.8,0.5,4.5,1,ESPN,456.6,1
0.75,0.8500000000000001,0.5,4.5,1,ESPN,647.4,1
0.75,0.9,0.5,4.5,1,ESPN,675.6,1
0.75,0.95,0.5,4.5,1,ESPN,624,1
0.75,1,0.5,4.5,1,ESPN,722,1
0.75,0.5,0.55,4.5,1,ESPN,430.9,1
0.75,0.55,0.55,4.5,1,ESPN,348.4,1
0.75,0.6,0.55,4.5,1,ESPN,349.2,1
0.75,0.65,0.55,4.5,1,ESPN,385.4,1
0.75,0.7,0.55,4.5,1,ESPN,540.2,1
0.75,0.75,0.55,4.5,1,ESPN,556.1,1
0.75,0.8,0.55,4.5,1,ESPN,459.5,1
0.75,0.8500000000000001,0.55,4.5,1,ESPN,589.5,1
0.75,0.9,0.55,4.5,1,ESPN,698.3,1
0.75,0.95,0.55,4.5,1,ESPN,685.8,1
0.75,1,0.55,4.5,1,ESPN,777,1
0.75,0.5,0.6,4.5,1,ESPN,298,1
0.75,0.55,0.6,4.5,1,ESPN,378.1,1
0.75,0.6,0.6,4.5,1,ESPN,348.9,1
0.75,0.65,0.6,4.5,1,ESPN,369.8,1
0.75,0.7,0.6,4.5,1,ESPN,434.5,1
0.75,0.75,0.6,4.5,1,ESPN,464.4,1
0.75,0.8,0.6,4.5,1,ESPN,502,1
0.75,0.8500000000000001,0.6,4.5,1,ESPN,527.4,1
0.75,0.9,0.6,4.5,1,ESPN,496.5,1
0.75,0.95,0.6,4.5,1,ESPN,700.4,1
0.75,1,0.6,4.5,1,ESPN,772.7,1
0.75,0.5,0.65,4.5,1,ESPN,381.9,1
0.75,0.55,0.65,4.5,1,ESPN,262.3,1
0.75,0.6,0.65,4.5,1,ESPN,358.8,1
0.75,0.65,0.65,4.5,1,ESPN,507.7,1
0.75,0.7,0.65,4.5,1,ESPN,449,1
0.75,0.75,0.65,4.5,1,ESPN,477,1
0.75,0.8,0.65,4.5,1,ESPN,434.4,1
0.75,0.8500000000000001,0.65,4.5,1,ESPN,665.7,1
0.75,0.9,0.65,4.5,1,ESPN,591.6,1
0.75,0.95,0.65,4.5,1,ESPN,712.6,1
0.75,1,0.65,4.5,1,ESPN,787.5,1
0.75,0.5,0.7,4.5,1,ESPN,412.1,1
0.75,0.55,0.7,4.5,1,ESPN,292.9,1
0.75,0.6,0.7,4.5,1,ESPN,440.8,1
0.75,0.65,0.7,4.5,1,ESPN,398,1
0.75,0.7,0.7,4.5,1,ESPN,413.7,1
0.75,0.75,0.7,4.5,1,ESPN,653.5,1
0.75,0.8,0.7,4.5,1,ESPN,597,1
0.75,0.8500000000000001,0.7,4.5,1,ESPN,593.4,1
0.75,0.9,0.7,4.5,1,ESPN,715.8,1
0.75,0.95,0.7,4.5,1,ESPN,697.5,1
0.75,1,0.7,4.5,1,ESPN,732.8,1
0.75,0.5,0.75,4.5,1,ESPN,299.4,1
0.75,0.55,0.75,4.5,1,ESPN,380.3,1
0.75,0.6,0.75,4.5,1,ESPN,392.1,1
0.75,0.65,0.75,4.5,1,ESPN,485.4,1
0.75,0.7,0.75,4.5,1,ESPN,634.6,1
0.75,0.75,0.75,4.5,1,ESPN,399.6,1
0.75,0.8,0.75,4.5,1,ESPN,476,1
0.75,0.8500000000000001,0.75,4.5,1,ESPN,697.5,1
0.75,0.9,0.75,4.5,1,ESPN,664.8,1
0.75,0.95,0.75,4.5,1,ESPN,718.5,1
0.75,1,0.75,4.5,1,ESPN,675,1
0.75,0.5,0.8,4.5,1,ESPN,318.5,1
0.75,0.55,0.8,4.5,1,ESPN,370,1
0.75,0.6,0.8,4.5,1,ESPN,315.2,1
0.75,0.65,0.8,4.5,1,ESPN,385.8,1
0.75,0.7,0.8,4.5,1,ESPN,428.2,1
0.75,0.75,0.8,4.5,1,ESPN,516.1,1
0.75,0.8,0.8,4.5,1,ESPN,723.1,1
0.75,0.8500000000000001,0.8,4.5,1,ESPN,656.2,1
0.75,0.9,0.8,4.5,1,ESPN,723.8,1
0.75,0.95,0.8,4.5,1,ESPN,758.5,1
0.75,1,0.8,4.5,1,ESPN,809.9,1
0.75,0.5,0.8500000000000001,4.5,1,ESPN,332.9,1
0.75,0.55,0.8500000000000001,4.5,1,ESPN,329.5,1
0.75,0.6,0.8500000000000001,4.5,1,ESPN,315.3,1
0.75,0.65,0.8500000000000001,4.5,1,ESPN,282.9,1
0.75,0.7,0.8500000000000001,4.5,1,ESPN,444.2,1
0.75,0.75,0.8500000000000001,4.5,1,ESPN,425.8,1
0.75,0.8,0.8500000000000001,4.5,1,ESPN,417.2,1
0.75,0.8500000000000001,0.8500000000000001,4.5,1,ESPN,701.4,1
0.75,0.9,0.8500000000000001,4.5,1,ESPN,660.3,1
0.75,0.95,0.8500000000000001,4.5,1,ESPN,754.9,1
0.75,1,0.8500000000000001,4.5,1,ESPN,718.8,1
0.75,0.5,0.9,4.5,1,ESPN,282.2,1
0.75,0.55,0.9,4.5,1,ESPN,335.8,1
0.75,0.6,0.9,4.5,1,ESPN,414.2,1
0.75,0.65,0.9,4.5,1,ESPN,553.8,1
0.75,0.7,0.9,4.5,1,ESPN,375.2,1
0.75,0.75,0.9,4.5,1,ESPN,401.8,1
0.75,0.8,0.9,4.5,1,ESPN,550.3,1
0.75,0.8500000000000001,0.9,4.5,1,ESPN,641.5,1
0.75,0.9,0.9,4.5,1,ESPN,701.2,1
0.75,0.95,0.9,4.5,1,ESPN,712.1,1
0.75,1,0.9,4.5,1,ESPN,821.7,1
0.75,0.5,0.95,4.5,1,ESPN,318,1
0.75,0.55,0.95,4.5,1,ESPN,365.7,1
0.75,0.6,0.95,4.5,1,ESPN,284.2,1
0.75,0.65,0.95,4.5,1,ESPN,392.6,1
0.75,0.7,0.95,4.5,1,ESPN,400.4,1
0.75,0.75,0.95,4.5,1,ESPN,528.6,1
0.75,0.8,0.95,4.5,1,ESPN,537.4,1
0.75,0.8500000000000001,0.95,4.5,1,ESPN,689.4,1
0.75,0.9,0.95,4.5,1,ESPN,708.2,1
