p,qE,qL,q_cutoff,n,scoring_method,eMaxHammingScore,fold
0.75,0.9,0.7,3.5,1,Hamming,34.54,1
0.75,0.95,0.7,3.5,1,Hamming,37.07,1
0.75,1,0.7,3.5,1,Hamming,37.44,1
0.75,0.5,0.75,3.5,1,Hamming,23.08,1
0.75,0.55,0.75,3.5,1,Hamming,26.28,1
0.75,0.6,0.75,3.5,1,Hamming,27.63,1
0.75,0.65,0.75,3.5,1,Hamming,22.09,1
0.75,0.7,0.75,3.5,1,Hamming,28.05,1
0.75,0.75,0.75,3.5,1,Hamming,26.2,1
0.75,0.8,0.75,3.5,1,Hamming,29.76,1
0.75,0.8500000000000001,0.75,3.5,1,Hamming,32.47,1
0.75,0.9,0.75,3.5,1,Hamming,35.12,1
0.75,0.95,0.75,3.5,1,Hamming,36.82,1
0.75,1,0.75,3.5,1,Hamming,37.79,1
0.75,0.5,0.8,3.5,1,Hamming,20.8,1
0.75,0.55,0.8,3.5,1,Hamming,21.1,1
0.75,0.6,0.8,3.5,1,Hamming,23.32,1
0.75,0.65,0.8,3.5,1,Hamming,26.36,1
0.75,0.7,0.8,3.5,1,Hamming,29.1,1
0.75,0.75,0.8,3.5,1,Hamming,28.41,1
0.75,0.8,0.8,3.5,1,Hamming,33.79,1
0.75,0.8500000000000001,0.8,3.5,1,Hamming,31.33,1
0.75,0.9,0.8,3.5,1,Hamming,31.47,1
0.75,0.95,0.8,3.5,1,Hamming,37.14,1
0.75,1,0.8,3.5,1,Hamming,37.76,1
0.75,0.5,0.8500000000000001,3.5,1,Hamming,23.33,1
0.75,0.55,0.8500000000000001,3.5,1,Hamming,20.78,1
0.75,0.6,0.8500000000000001,3.5,1,Hamming,24.86,1
0.75,0.65,0.8500000000000001,3.5,1,Hamming,26.36,1
0.75,0.7,0.8500000000000001,3.5,1,Hamming,27.18,1
0.75,0.75,0.8500000000000001,3.5,1,Hamming,25.51,1
0.75,0.8,0.8500000000000001,3.5,1,Hamming,34.76,1
0.75,0.8500000000000001,0.8500000000000001,3.5,1,Hamming,35.71,1
0.75,0.9,0.8500000000000001,3.5,1,Hamming,32.09,1
0.75,0.95,0.8500000000000001,3.5,1,Hamming,35.67,1
0.75,1,0.8500000000000001,3.5,1,Hamming,37.64,1
0.75,0.5,0.9,3.5,1,Hamming,20.25,1
0.75,0.55,0.9,3.5,1,Hamming,23.4,1
0.75,0.6,0.9,3.5,1,Hamming,22.06,1
0.75,0.65,0.9,3.5,1,Hamming,24.92,1
