wp,n,k,p,q,r,score_method
0.9994489958397196,100,10,0.75,0.8500000000000001,0.5,Hamming
0.999925392507128,1000,10,0.75,0.8500000000000001,0.5,Hamming
0.6630094622689462,1,100,0.75,0.8500000000000001,0.5,Hamming
0.9595669814802724,10,100,0.75,0.8500000000000001,0.5,Hamming
0.9951492165146164,100,100,0.75,0.8500000000000001,0.5,Hamming
0.9992890571545212,1000,100,0.75,0.8500000000000001,0.5,Hamming
0.3902965114145505,1,1000,0.75,0.8500000000000001,0.5,Hamming
0.8357255851343218,10,1000,0.75,0.8500000000000001,0.5,Hamming
0.9691126283018598,100,1000,0.75,0.8500000000000001,0.5,Hamming
0.9943241202805834,1000,1000,0.75,0.8500000000000001,0.5,Hamming
0.9921067889200242,1,1,0.75,0.9,0.5,Hamming
0.9995416712152518,10,1,0.75,0.9,0.5,Hamming
0.9999330618976888,100,1,0.75,0.9,0.5,Hamming
0.9999865352919473,1000,1,0.75,0.9,0.5,Hamming
0.944899988186504,1,10,0.75,0.9,0.5,Hamming
0.9957870594973688,10,10,0.75,0.9,0.5,Hamming
0.9993519219957484,100,10,0.75,0.9,0.5,Hamming
0.9998672831195958,1000,10,0.75,0.9,0.5,Hamming
0.7920704009558585,1,100,0.75,0.9,0.5,Hamming
0.971231518973584,10,100,0.75,0.9,0.5,Hamming
0.994617531535272,100,100,0.75,0.9,0.5,Hamming
0.9987952993377738,1000,100,0.75,0.9,0.5,Hamming
0.5496891904544611,1,1000,0.75,0.9,0.5,Hamming
0.8814763153152817,10,1000,0.75,0.9,0.5,Hamming
0.9690594656264374,100,1000,0.75,0.9,0.5,Hamming
0.9915370060655772,1000,1000,0.75,0.9,0.5,Hamming
0.9968240915360604,1,1,0.75,0.95,0.5,Hamming
0.9995654052313212,10,1,0.75,0.95,0.5,Hamming
0.999882301663674,100,1,0.75,0.95,0.5,Hamming
0.9999617093224812,1000,1,0.75,0.95,0.5,Hamming
0.9754663946903572,1,10,0.75,0.95,0.5,Hamming
0.9960840267725348,10,10,0.75,0.95,0.5,Hamming
0.9988899243964804,100,10,0.75,0.95,0.5,Hamming
0.9996304413958736,1000,10,0.75,0.95,0.5,Hamming
0.8879511929891202,1,100,0.75,0.95,0.5,Hamming
0.9744916400417766,10,100,0.75,0.95,0.5,Hamming
0.9916252466959768,100,100,0.75,0.95,0.5,Hamming
0.9969520458495156,1000,100,0.75,0.95,0.5,Hamming
0.7050166719678452,1,1000,0.75,0.95,0.5,Hamming
0.8987621818975948,10,1000,0.75,0.95,0.5,Hamming
0.9585477529595282,100,1000,0.75,0.95,0.5,Hamming
0.9823422004335494,1000,1000,0.75,0.95,0.5,Hamming
0.9988729168321756,1,1,0.75,1,0.5,Hamming
0.9988729168321756,10,1,0.75,1,0.5,Hamming
0.9988729168321756,100,1,0.75,1,0.5,Hamming
0.9988729168321756,1000,1,0.75,1,0.5,Hamming
0.9905487821457696,1,10,0.75,1,0.5,Hamming
0.9905487821457696,10,10,0.75,1,0.5,Hamming
0.9905487821457696,100,10,0.75,1,0.5,Hamming
0.9905487821457696,1000,10,0.75,1,0.5,Hamming
0.9483379637563728,1,100,0.75,1,0.5,Hamming
0.9483379637563728,10,100,0.75,1,0.5,Hamming
0.9483379637563728,100,100,0.75,1,0.5,Hamming
0.9483379637563728,1000,100,0.75,1,0.5,Hamming
0.8329661485610821,1,1000,0.75,1,0.5,Hamming
0.8329661485610821,10,1000,0.75,1,0.5,Hamming
0.8329661485610821,100,1000,0.75,1,0.5,Hamming
0.8329661485610821,1000,1000,0.75,1,0.5,Hamming
0.00124996507953163,1,1,0.75,0,0.55,Hamming
0.00124996507953163,10,1,0.75,0,0.55,Hamming
0.00124996507953163,100,1,0.75,0,0.55,Hamming
0.00124996507953163,1000,1,0.75,0,0.55,Hamming
2.59023136285363e-7,1,10,0.75,0,0.55,Hamming
2.59023136285363e-7,10,10,0.75,0,0.55,Hamming
2.59023136285363e-7,100,10,0.75,0,0.55,Hamming
2.59023136285363e-7,1000,10,0.75,0,0.55,Hamming
4.703085557959272e-10,1,100,0.75,0,0.55,Hamming
4.703085557959272e-10,10,100,0.75,0,0.55,Hamming
4.703085557959272e-10,100,100,0.75,0,0.55,Hamming
4.703085557959272e-10,1000,100,0.75,0,0.55,Hamming
3.252800637678885e-12,1,1000,0.75,0,0.55,Hamming
3.252800637678885e-12,10,1000,0.75,0,0.55,Hamming
3.252800637678885e-12,100,1000,0.75,0,0.55,Hamming
3.252800637678885e-12,1000,1000,0.75,0,0.55,Hamming
0.00319638278250069,1,1,0.75,0.05,0.55,Hamming
0.01056626310194665,10,1,0.75,0.05,0.55,Hamming
0.02453427517767883,100,1,0.75,0.05,0.55,Hamming
0.04663976023882101,1000,1,0.75,0.05,0.55,Hamming
1.6083972992225492e-6,1,10,0.75,0.05,0.55,Hamming
1.0666956238504984e-5,10,10,0.75,0.05,0.55,Hamming
5.047743924061352e-5,100,10,0.75,0.05,0.55,Hamming
1.846918013274999e-4,1000,10,0.75,0.05,0.55,Hamming
4.533967843495821e-9,1,100,0.75,0.05,0.55,Hamming
3.6777142108168686e-8,10,100,0.75,0.05,0.55,Hamming
2.3179610797723733e-7,100,100,0.75,0.05,0.55,Hamming
1.157726843306406e-6,1000,100,0.75,0.05,0.55,Hamming
4.102637907787054e-11,1,1000,0.75,0.05,0.55,Hamming
3.6112943733166006e-10,10,1000,0.75,0.05,0.55,Hamming
2.622173914225537e-9,100,1000,0.75,0.05,0.55,Hamming
1.5544057785245426e-8,1000,1000,0.75,0.05,0.55,Hamming
0.00742767237641229,1,1,0.75,0.1,0.55,Hamming
0.0301087753080504,10,1,0.75,0.1,0.55,Hamming
0.0764238579808527,100,1,0.75,0.1,0.55,Hamming
0.14709922572635312,1000,1,0.75,0.1,0.55,Hamming
8.538844643570567e-6,1,10,0.75,0.1,0.55,Hamming
7.047715157025805e-5,10,10,0.75,0.1,0.55,Hamming
4.266572069829561e-4,100,10,0.75,0.1,0.55,Hamming
0.00187235367868522,1000,10,0.75,0.1,0.55,Hamming
3.6883263692728976e-8,1,100,0.75,0.1,0.55,Hamming
3.485671967310365e-7,10,100,0.75,0.1,0.55,Hamming
2.83913055646806e-6,100,100,0.75,0.1,0.55,Hamming
1.8466631281657617e-5,1000,100,0.75,0.1,0.55,Hamming
4.344231996259912e-10,1,1000,0.75,0.1,0.55,Hamming
4.250901484321051e-9,10,1000,0.75,0.1,0.55,Hamming
3.8577547293369326e-8,100,1000,0.75,0.1,0.55,Hamming
3.018099175661303e-7,1000,1000,0.75,0.1,0.55,Hamming
0.01580971344101084,1,1,0.75,0.15000000000000002,0.55,Hamming
0.06835965585560518,10,1,0.75,0.15000000000000002,0.55,Hamming
0.17169124549662065,100,1,0.75,0.15000000000000002,0.55,Hamming
0.31081785558376573,1000,1,0.75,0.15000000000000002,0.55,Hamming
3.923405089002659e-5,1,10,0.75,0.15000000000000002,0.55,Hamming
3.4834773849826026e-4,10,10,0.75,0.15000000000000002,0.55,Hamming
0.00233569611987165,100,10,0.75,0.15000000000000002,0.55,Hamming
0.01083247128047606,1000,10,0.75,0.15000000000000002,0.55,Hamming
2.5654572268957714e-7,1,100,0.75,0.15000000000000002,0.55,Hamming
2.512091991614775e-6,10,100,0.75,0.15000000000000002,0.55,Hamming
2.2557425338847e-5,100,100,0.75,0.15000000000000002,0.55,Hamming
1.665713562944788e-4,1000,100,0.75,0.15000000000000002,0.55,Hamming
3.918874254455753e-9,1,1000,0.75,0.15000000000000002,0.55,Hamming
3.898809435233109e-8,10,1000,0.75,0.15000000000000002,0.55,Hamming
3.77152417843573e-7,100,1000,0.75,0.15000000000000002,0.55,Hamming
3.330585667223828e-6,1000,1000,0.75,0.15000000000000002,0.55,Hamming
0.03102816897538933,1,1,0.75,0.2,0.55,Hamming
0.1334137214853704,10,1,0.75,0.2,0.55,Hamming
0.3126856113142797,100,1,0.75,0.2,0.55,Hamming
0.5119243407606908,1000,1,0.75,0.2,0.55,Hamming
1.5763368033207717e-4,1,10,0.75,0.2,0.55,Hamming
0.00143635488640165,10,10,0.75,0.2,0.55,Hamming
0.0099084963212859,100,10,0.75,0.2,0.55,Hamming
0.04453393400339679,1000,10,0.75,0.2,0.55,Hamming
1.542802366661767e-6,1,100,0.75,0.2,0.55,Hamming
1.526458473489473e-5,10,100,0.75,0.2,0.55,Hamming
1.4251257622152204e-4,100,100,0.75,0.2,0.55,Hamming
0.00111298176592742,1000,100,0.75,0.2,0.55,Hamming
3.046258668095963e-8,1,1000,0.75,0.2,0.55,Hamming
3.0409972517272493e-7,10,1000,0.75,0.2,0.55,Hamming
2.9990393823368014e-6,100,1000,0.75,0.2,0.55,Hamming
2.791699591386217e-5,1000,1000,0.75,0.2,0.55,Hamming
0.05646737408645141,1,1,0.75,0.25,0.55,Hamming
0.23022211518936972,10,1,0.75,0.25,0.55,Hamming
0.4839600810051567,100,1,0.75,0.25,0.55,Hamming
0.7037921861913948,1000,1,0.75,0.25,0.55,Hamming
5.586199657554713e-4,1,10,0.75,0.25,0.55,Hamming
0.00510874775648487,10,10,0.75,0.25,0.55,Hamming
0.03434104490890224,100,10,0.75,0.25,0.55,Hamming
0.13788586943354272,1000,10,0.75,0.25,0.55,Hamming
8.096989775001034e-6,1,100,0.75,0.25,0.55,Hamming
8.037417716825583e-5,10,100,0.75,0.25,0.55,Hamming
7.606691240930821e-4,100,100,0.75,0.25,0.55,Hamming
0.00599180385340122,1000,100,0.75,0.25,0.55,Hamming
2.060906786892411e-7,1,1000,0.75,0.25,0.55,Hamming
2.0591453651720265e-6,10,1000,0.75,0.25,0.55,Hamming
2.043349648303128e-5,100,1000,0.75,0.25,0.55,Hamming
1.943384033645548e-4,1000,1000,0.75,0.25,0.55,Hamming
