p,qE,qL,q_cutoff,eMaxScore,n,score_method
0.75,0.9,0.65,1.5,172.5608234878189,10000,ESPN
0.75,0.95,0.65,1.5,115.20000000000016,1,ESPN
0.75,0.95,0.65,1.5,139.3855679877835,5,ESPN
0.75,0.95,0.65,1.5,146.09899391268056,10,ESPN
0.75,0.95,0.65,1.5,159.9725038624917,100,ESPN
0.75,0.95,0.65,1.5,167.81738767599316,1000,ESPN
0.75,0.95,0.65,1.5,173.05782960939092,10000,ESPN
0.75,1,0.65,1.5,116.00000000000016,1,ESPN
0.75,1,0.65,1.5,140.1335929844417,5,ESPN
0.75,1,0.65,1.5,146.82267432916217,10,ESPN
0.75,1,0.65,1.5,160.60146353690402,100,ESPN
0.75,1,0.65,1.5,168.3375150821765,1000,ESPN
0.75,1,0.65,1.5,173.45580741442242,10000,ESPN
0.75,0.5,0.7,1.5,112.00000000000016,1,ESPN
0.75,0.5,0.7,1.5,135.17816586911624,5,ESPN
0.75,0.5,0.7,1.5,141.6173582794339,10,ESPN
0.75,0.5,0.7,1.5,155.14329101086597,100,ESPN
0.75,0.5,0.7,1.5,162.98089751274057,1000,ESPN
0.75,0.5,0.7,1.5,168.3830262030111,10000,ESPN
0.75,0.55,0.7,1.5,112.80000000000015,1,ESPN
0.75,0.55,0.7,1.5,135.9755201250556,5,ESPN
0.75,0.55,0.7,1.5,142.4133322410578,10,ESPN
0.75,0.55,0.7,1.5,155.93306371681177,100,ESPN
0.75,0.55,0.7,1.5,163.7620281141357,1000,ESPN
0.75,0.55,0.7,1.5,169.15305395134652,10000,ESPN
0.75,0.6,0.7,1.5,113.60000000000016,1,ESPN
0.75,0.6,0.7,1.5,136.76786507863693,5,ESPN
0.75,0.6,0.7,1.5,143.2019950779181,10,ESPN
0.75,0.6,0.7,1.5,156.70681728566592,100,ESPN
0.75,0.6,0.7,1.5,164.51767582852594,1000,ESPN
0.75,0.6,0.7,1.5,169.8879034494423,10000,ESPN
0.75,0.65,0.7,1.5,114.40000000000016,1,ESPN
0.75,0.65,0.7,1.5,137.5552019898864,5,ESPN
0.75,0.65,0.7,1.5,143.98335415816678,10,ESPN
0.75,0.65,0.7,1.5,157.4646027513442,100,ESPN
0.75,0.65,0.7,1.5,165.24795852553942,1000,ESPN
0.75,0.65,0.7,1.5,170.58775116862054,10000,ESPN
0.75,0.7,0.7,1.5,115.20000000000016,1,ESPN
0.75,0.7,0.7,1.5,138.3375275202034,5,ESPN
0.75,0.7,0.7,1.5,144.75740770297483,10,ESPN
0.75,0.7,0.7,1.5,158.20642569276805,100,ESPN
0.75,0.7,0.7,1.5,165.95286771041054,1000,ESPN
0.75,0.7,0.7,1.5,171.25250752357752,10000,ESPN
0.75,0.75,0.7,1.5,116.00000000000016,1,ESPN
0.75,0.75,0.7,1.5,139.11483369612176,5,ESPN
0.75,0.75,0.7,1.5,145.52414473543374,10,ESPN
0.75,0.75,0.7,1.5,158.93224600629844,100,ESPN
0.75,0.75,0.7,1.5,166.63226628857893,1000,ESPN
0.75,0.75,0.7,1.5,171.881804816865,10000,ESPN
0.75,0.8,0.7,1.5,116.80000000000015,1,ESPN
0.75,0.8,0.7,1.5,139.88710784051244,5,ESPN
0.75,0.8,0.7,1.5,146.28354494650316,10,ESPN
0.75,0.8,0.7,1.5,159.64197679974424,100,ESPN
0.75,0.8,0.7,1.5,167.28588184917956,1000,ESPN
0.75,0.8,0.7,1.5,172.47496937055968,10000,ESPN
0.75,0.8500000000000001,0.7,1.5,117.60000000000016,1,ESPN
0.75,0.8500000000000001,0.7,1.5,140.6543324694564,5,ESPN
0.75,0.8500000000000001,0.7,1.5,147.03557847372846,10,ESPN
0.75,0.8500000000000001,0.7,1.5,160.3354823430716,100,ESPN
0.75,0.8500000000000001,0.7,1.5,167.91329477637143,1000,ESPN
0.75,0.8500000000000001,0.7,1.5,173.03097331010335,10000,ESPN
0.75,0.9,0.7,1.5,118.40000000000016,1,ESPN
0.75,0.9,0.7,1.5,141.4164851458607,5,ESPN
0.75,0.9,0.7,1.5,147.7802055749043,10,ESPN
0.75,0.9,0.7,1.5,161.01257491210072,100,ESPN
0.75,0.9,0.7,1.5,168.51391979673397,1000,ESPN
0.75,0.9,0.7,1.5,173.54835715798296,10000,ESPN
0.75,0.95,0.7,1.5,119.20000000000012,1,ESPN
0.75,0.95,0.7,1.5,142.17352781756242,5,ESPN
0.75,0.95,0.7,1.5,148.5173594534569,10,ESPN
0.75,0.95,0.7,1.5,161.67295937517005,100,ESPN
0.75,0.95,0.7,1.5,169.08686648649504,1000,ESPN
0.75,0.95,0.7,1.5,174.02490169047036,10000,ESPN
0.75,1,0.7,1.5,120.00000000000011,1,ESPN
0.75,1,0.7,1.5,142.91749551797284,5,ESPN
0.75,1,0.7,1.5,149.23532411740345,10,ESPN
0.75,1,0.7,1.5,162.28997438177907,100,ESPN
0.75,1,0.7,1.5,169.58735058475773,1000,ESPN
0.75,1,0.7,1.5,174.3939087081008,10000,ESPN
0.75,0.5,0.75,1.5,116.00000000000016,1,ESPN
