p,q,n,method,eMaxHammingScore
0.7,0.5,10000,gpb,46.491389439096146
0.8,0.5,1,gpb,31.5
0.8,0.5,5,gpb,36.10453608816434
0.8,0.5,10,gpb,37.58681701694249
0.8,0.5,100,gpb,41.37348045447274
0.8,0.5,1000,gpb,44.19209092555391
0.8,0.5,10000,gpb,46.491389439096146
0.9,0.5,1,gpb,31.500000000000004
0.9,0.5,5,gpb,36.10453608816433
0.9,0.5,10,gpb,37.5868170169425
0.9,0.5,100,gpb,41.37348045447274
0.9,0.5,1000,gpb,44.19209092555391
0.9,0.5,10000,gpb,46.49138943909616
1,0.5,1,gpb,31.5
1,0.5,5,gpb,36.10453608816432
1,0.5,10,gpb,37.58681701694249
1,0.5,100,gpb,41.37348045447274
1,0.5,1000,gpb,44.19209092555391
1,0.5,10000,gpb,46.49138943909615
0.5,0.6000000000000001,1,gpb,31.49999999999999
0.5,0.6000000000000001,5,gpb,36.01089026150934
0.5,0.6000000000000001,10,gpb,37.46347707610392
0.5,0.6000000000000001,100,gpb,41.17709484561663
0.5,0.6000000000000001,1000,gpb,43.94529792123243
0.5,0.6000000000000001,10000,gpb,46.20702172148648
0.6,0.6000000000000001,1,gpb,32.76000000000002
0.6,0.6000000000000001,5,gpb,37.26548953392768
0.6,0.6000000000000001,10,gpb,38.71189375768597
0.6,0.6000000000000001,100,gpb,42.3997824831236
0.6,0.6000000000000001,1000,gpb,45.13911383130744
0.6,0.6000000000000001,10000,gpb,47.37052626607493
0.7,0.6000000000000001,1,gpb,34.02000000000002
0.7,0.6000000000000001,5,gpb,38.52007392253655
0.7,0.6000000000000001,10,gpb,39.96024067009256
0.7,0.6000000000000001,100,gpb,43.62193504130477
0.7,0.6000000000000001,1000,gpb,46.33156842305633
0.7,0.6000000000000001,10000,gpb,48.53154520052078
0.8,0.6000000000000001,1,gpb,35.28
0.8,0.6000000000000001,5,gpb,39.77464344279743
0.8,0.6000000000000001,10,gpb,41.208516987802525
