n,k,p,q,r,wp
10,100000,0.75,0.2,0.5,3.9447467514719387e-10
10,1000000,0.75,0.2,0.5,-2.068569759927641e-10
10,10000000,0.75,0.2,0.5,-2.2198285432040166e-9
10,100000000,0.75,0.2,0.5,-2.220443140465989e-8
100,1,0.75,0.2,0.5,0.4338233458048869
100,10,0.75,0.2,0.5,0.02120388668369111
100,100,0.75,0.2,0.5,2.947062657261412e-4
100,1000,0.75,0.2,0.5,5.333066362300798e-6
100,10000,0.75,0.2,0.5,1.332730257264103e-7
100,100000,0.75,0.2,0.5,4.144069754019597e-9
100,1000000,0.75,0.2,0.5,-7.016942582538377e-11
100,10000000,0.75,0.2,0.5,-2.2142685462966934e-9
100,100000000,0.75,0.2,0.5,-2.2204165395223185e-8
1000,1,0.75,0.2,0.5,0.6463936690813348
1000,10,0.75,0.2,0.5,0.09032258659731096
1000,100,0.75,0.2,0.5,0.00240642826936143
1000,1000,0.75,0.2,0.5,5.132286788422924e-5
1000,10000,0.75,0.2,0.5,1.323870045366604e-6
1000,100000,0.75,0.2,0.5,4.1593509081394586e-8
1000,1000000,0.75,0.2,0.5,1.2964161966166896e-9
1000,10000000,0.75,0.2,0.5,-2.158671685847935e-9
1000,100000000,0.75,0.2,0.5,-2.2201506189034603e-8
10000,1,0.75,0.2,0.5,0.8011408137601254
10000,10,0.75,0.2,0.5,0.2431755301308226
10000,100,0.75,0.2,0.5,0.01451539965556036
10000,1000,0.75,0.2,0.5,4.417936328680039e-4
10000,10000,0.75,0.2,0.5,1.2757067660906785e-5
10000,100000,0.75,0.2,0.5,4.128212255372077e-7
10000,1000000,0.75,0.2,0.5,1.4938452363999488e-8
10000,10000000,0.75,0.2,0.5,-1.6029000349249143e-9
10000,100000000,0.75,0.2,0.5,-2.217491590350562e-8
100000,1,0.75,0.2,0.5,0.897476620127641
100000,10,0.75,0.2,0.5,0.457870132554309
100000,100,0.75,0.2,0.5,0.0602096599900872
100000,1000,0.75,0.2,0.5,0.00305228775332588
100000,10000,0.75,0.2,0.5,1.1205073857945004e-4
100000,100000,0.75,0.2,0.5,3.9736115217126056e-6
100000,10000,0.75,0.2,0.5,1.1205073857945004e-4
100000,100000,0.75,0.2,0.5,3.9736115217126056e-6
100000,1000000,0.75,0.2,0.5,1.4991774432981941e-7
100000,10000000,0.75,0.2,0.5,3.940636483790172e-9
100000,100000000,0.75,0.2,0.5,-2.1909157599253604e-8
1000000,1,0.75,0.2,0.5,0.9509222256607792
1000000,10,0.75,0.2,0.5,0.6683636881218384
1000000,100,0.75,0.2,0.5,0.17304522425899793
1000000,1000,0.75,0.2,0.5,0.01570157204402833
1000000,10000,0.75,0.2,0.5,8.246984084708808e-4
1000000,100000,0.75,0.2,0.5,3.520972378057152e-5
1000000,1000000,0.75,0.2,0.5,1.4415583016180733e-6
1000000,10000000,0.75,0.2,0.5,5.864417462753124e-8
1000000,100000000,0.75,0.2,0.5,-1.9260802730514115e-8
10000000,1,0.75,0.2,0.5,0.9779781714213736
10000000,10,0.75,0.2,0.5,0.8242929170171619
10000000,100,0.75,0.2,0.5,0.3607529414544048
10000000,1000,0.75,0.2,0.5,0.05872300633488636
10000000,10000,0.75,0.2,0.5,0.00476116437311013
10000000,100000,0.75,0.2,0.5,2.681554428431987e-4
10000000,1000000,0.75,0.2,0.5,1.2823912642012658e-5
10000000,10000000,0.75,0.2,0.5,5.799056009836434e-7
10000000,100000000,0.75,0.2,0.5,6.8032768307801925e-9
100000000,1,0.75,0.2,0.5,0.9906696822003078
100000000,10,0.75,0.2,0.5,0.9174330188568116
100000000,100,0.75,0.2,0.5,0.5796582981797755
100000000,1000,0.75,0.2,0.5,0.16132994482412166
100000000,10000,0.75,0.2,0.5,0.02088503148336151
100000000,100000,0.75,0.2,0.5,0.00165803465498814
100000000,1000000,0.75,0.2,0.5,9.971680917864044e-5
100000000,10000000,0.75,0.2,0.5,5.172335690195595e-6
100000000,100000000,0.75,0.2,0.5,2.540968077058281e-7
1,1,0.75,0.25,0.5,0.0912665447668971
1,10,0.75,0.25,0.5,0.0012675888568282
1,100,0.75,0.25,0.5,1.9374449606091027e-5
1,1000,0.75,0.25,0.5,4.735611427442166e-7
1,10000,0.75,0.25,0.5,1.542696737022453e-8
1,100000,0.75,0.25,0.5,5.822951010259202e-10
1,1000000,0.75,0.25,0.5,-1.952091821522117e-10
1,10000000,0.75,0.25,0.5,-2.219148642623736e-9
1,100000000,0.75,0.25,0.5,-2.2204388550051135e-8
10,1,0.75,0.25,0.5,0.33376535810383545
10,10,0.75,0.25,0.5,0.01149572849486968
10,100,0.75,0.25,0.5,1.926556254507883e-4
10,1000,0.75,0.25,0.5,4.733555707292503e-6
10,10000,0.75,0.25,0.5,1.542831764567154e-7
10,100000,0.75,0.25,0.5,6.022765619562165e-9
10,1000000,0.75,0.25,0.5,4.631262040533102e-11
